I,1,Cog,3.751,141,41,401,121
O,2,Spring,2.3,7,5,20,C1
O,3,Screw,0.11,280,100,1000,CompanyLtd
O,4,part1,1.34,15,2,15,me
I,5,part2,1.23,11,1,11,1
O,6,p3,1.0,11,1,13,ebgef
I,7,p111,1.23,11,2,12,23
O,8,part10,1.51,5,2,19,none
I,10,part11,1.23,1,1,9,123
I,11,part12,1.89,3,1,8,124
O,12,Part100,2.34,10,4,10,NewCompany
O,13,Part200,10.4,10,10,12,MyCompany
I,1001,cioburi de oglinda,5000.0,200,5,1000,1
I,1002,bani,5.0E8,200,5,1000,1
I,1003,prieteni,5.0E8,200,5,1000,1
I,1004,fericire,5.0E8,200,5,1000,1
I,1005,timp liber,5.0E8,200,5,1000,1
I,1000,creier,1.0,200,5,1000,1
I,2000,familie,50.0,200,5,1000,1
I,3000,pisica neagra,50.0,200,5,1000,1
I,1001,cioburi de oglinda,5000.0,200,5,1000,1
I,1002,bani,5.0E8,200,5,1000,1
I,1003,prieteni,5.0E8,200,5,1000,1
I,1004,fericire,5.0E8,200,5,1000,1
I,1005,timp liber,5.0E8,200,5,1000,1
I,1000,creier,1.0,200,5,1000,1
I,2000,familie,50.0,200,5,1000,1
I,3000,pisica neagra,50.0,200,5,1000,1
I,1001,cioburi de oglinda,5000.0,200,5,1000,1
I,1002,bani,5.0E8,200,5,1000,1
I,1003,prieteni,5.0E8,200,5,1000,1
I,1004,fericire,5.0E8,200,5,1000,1
I,1005,timp liber,5.0E8,200,5,1000,1
I,1000,creier,1.0,200,5,1000,1
I,2000,familie,50.0,200,5,1000,1
I,3000,pisica neagra,50.0,200,5,1000,1
I,1001,cioburi de oglinda,5000.0,200,5,1000,1
I,1002,bani,5.0E8,200,5,1000,1
I,1003,prieteni,5.0E8,200,5,1000,1
I,1004,fericire,5.0E8,200,5,1000,1
I,1005,timp liber,5.0E8,200,5,1000,1
I,1000,creier,1.0,200,5,1000,1
I,2000,familie,50.0,200,5,1000,1
I,3000,pisica neagra,50.0,200,5,1000,1
I,1001,cioburi de oglinda,5000.0,200,5,1000,1
I,1002,bani,5.0E8,200,5,1000,1
I,1003,prieteni,5.0E8,200,5,1000,1
I,1004,fericire,5.0E8,200,5,1000,1
I,1005,timp liber,5.0E8,200,5,1000,1
I,1000,creier,1.0,200,5,1000,1
I,2000,familie,50.0,200,5,1000,1
I,3000,pisica neagra,50.0,200,5,1000,1
P,1,Clock,7.45,7,2,20,1:2:3
P,2,product2,12.34,12,1,12,4
P,4,products4,11.0,2,1,10,5:8:7:7
P,5,MyNewProduct,100.0,102,100,150,2:13
P,6,IQ,5.0E8,100,0,1000000,1005
P,7,fericire,100000.0,10,0,100,2000
P,8,ghinion,2000.0,100,100,100,3000
P,9,IQ,5.0E8,100,0,1000000,3000
P,10,fericire,100000.0,10,0,100,3000
P,11,ghinion,2000.0,100,100,100,3000
P,12,IQ,5.0E8,100,0,1000000,3000
P,13,fericire,100000.0,10,0,100,3000
P,14,ghinion,2000.0,100,100,100,3000
P,15,IQ,5.0E8,100,0,1000000,3000
P,16,fericire,100000.0,10,0,100,3000
P,17,ghinion,2000.0,100,100,100,3000
P,18,IQ,5.0E8,100,0,1000000,3000
P,19,fericire,100000.0,10,0,100,3000
P,20,ghinion,2000.0,100,100,100,3000
